"","name","lat","lon","time","Rab.Obv","geometry","RabID","MST.time","Hour","DayOfYr","Date"
"127","Jaib214",43.36008601,-116.23443,"2022-08-08T07:26:49Z","Jackrab",c(-116.23443, 43.36008601),127,2022-08-08 01:26:49,1,220,2022-08-08
"128","Jaib215",43.370611,-116.234432,"2022-08-09T07:28:18Z","Jackrab",c(-116.234432, 43.370611),128,2022-08-09 01:28:18,1,221,2022-08-09
"129","Jaib216",43.21458103,-115.98792,"2022-08-11T07:21:01Z","Jackrab",c(-115.98792, 43.21458103),129,2022-08-11 01:21:01,1,223,2022-08-11
"130","Jaib217",43.26582396,-116.047196,"2022-08-12T07:49:02Z","Jackrab",c(-116.047196, 43.26582396),130,2022-08-12 01:49:02,1,224,2022-08-12
"131","Jaib22",43.28552102,-116.193515,"2022-08-04T08:00:31Z","Jackrab",c(-116.193515, 43.28552102),131,2022-08-04 02:00:31,2,216,2022-08-04
"132","Jaib221",43.35447298,-116.23443,"2022-08-08T07:27:26Z","Jackrab",c(-116.23443, 43.35447298),132,2022-08-08 01:27:26,1,220,2022-08-08
"133","Jaib23",43.28552102,-116.193515,"2022-08-04T08:00:40Z","Jackrab",c(-116.193515, 43.28552102),133,2022-08-04 02:00:40,2,216,2022-08-04
"134","Jaib231",43.35447298,-116.23443,"2022-08-08T07:29:55Z","Jackrab",c(-116.23443, 43.35447298),134,2022-08-08 01:29:55,1,220,2022-08-08
"135","Jaib24",43.28552102,-116.193515,"2022-08-04T08:02:42Z","Jackrab",c(-116.193515, 43.28552102),135,2022-08-04 02:02:42,2,216,2022-08-04
"136","Jaib241",43.35447298,-116.23443,"2022-08-08T07:32:25Z","Jackrab",c(-116.23443, 43.35447298),136,2022-08-08 01:32:25,1,220,2022-08-08
"137","Jaib25",43.28552102,-116.193515,"2022-08-04T08:03:27Z","Jackrab",c(-116.193515, 43.28552102),137,2022-08-04 02:03:27,2,216,2022-08-04
"138","Jaib251",43.35447298,-116.23443,"2022-08-08T07:32:33Z","Jackrab",c(-116.23443, 43.35447298),138,2022-08-08 01:32:33,1,220,2022-08-08
"139","Jaib26",43.28552102,-116.193515,"2022-08-04T08:03:39Z","Jackrab",c(-116.193515, 43.28552102),139,2022-08-04 02:03:39,2,216,2022-08-04
"140","Jaib261",43.35447298,-116.23443,"2022-08-08T07:33:03Z","Jackrab",c(-116.23443, 43.35447298),140,2022-08-08 01:33:03,1,220,2022-08-08
"141","Jaib27",43.28552102,-116.193515,"2022-08-04T08:03:49Z","Jackrab",c(-116.193515, 43.28552102),141,2022-08-04 02:03:49,2,216,2022-08-04
"142","Jaib271",43.35447298,-116.23443,"2022-08-08T07:33:28Z","Jackrab",c(-116.23443, 43.35447298),142,2022-08-08 01:33:28,1,220,2022-08-08
"143","Jaib28",43.28552102,-116.193515,"2022-08-04T08:04:26Z","Jackrab",c(-116.193515, 43.28552102),143,2022-08-04 02:04:26,2,216,2022-08-04
"144","Jaib281",43.35447298,-116.23443,"2022-08-08T07:33:43Z","Jackrab",c(-116.23443, 43.35447298),144,2022-08-08 01:33:43,1,220,2022-08-08
"145","Jaib29",43.28552102,-116.193515,"2022-08-04T08:05:02Z","Jackrab",c(-116.193515, 43.28552102),145,2022-08-04 02:05:02,2,216,2022-08-04
"146","Jaib291",43.35447298,-116.23443,"2022-08-08T07:34:31Z","Jackrab",c(-116.23443, 43.35447298),146,2022-08-08 01:34:31,1,220,2022-08-08
"147","Jaib3",43.33699596,-116.217203,"2022-08-02T04:03:02Z","Jackrab",c(-116.217203, 43.33699596),147,2022-08-01 22:03:02,22,213,2022-08-01
