Survey_ID,Km_markingID,JJ,JA,Junkn,CJ,CA,Cunkn,OtherSpp_spp,OtherSpp_count,OtherSpp2_spp,OtherSpp2_count,OtherSpp3_spp,OtherSpp3_count,Comments,,,,,,,,,,,,,,,
20,11,0,0,0,0,0,0,0,0,0,0,0,0,NA,,,,,,,,,,,,,,,
21,1,0,0,0,0,0,0,Kangaroo_rat,2,0,0,0,0,NA,,,,,,,,,,,,,,,
21,2,0,0,0,0,0,0,Kangaroo_rat,3,0,0,0,0,NA,,,,,,,,,,,,,,,
21,3,0,0,0,0,0,0,0,0,0,0,0,0,NA,,,,,,,,,,,,,,,
21,4,0,0,0,0,0,0,Kangaroo_rat,1,0,0,0,0,NA,,,,,,,,,,,,,,,
21,5,0,0,0,0,0,0,Kangaroo_rat,1,Burrowing_owl,1,0,0,NA,,,,,,,,,,,,,,,
21,6,0,0,0,0,0,0,Kangaroo_rat,3,Burrowing_owl,2,0,0,NA,,,,,,,,,,,,,,,
21,7,0,0,0,0,0,0,Kangaroo_rat,2,0,0,0,0,NA,,,,,,,,,,,,,,,
21,8,0,0,0,0,0,0,Kangaroo_rat,1,0,0,0,0,NA,,,,,,,,,,,,,,,
22,1,0,0,0,0,0,0,Burrowing_owl,1,0,0,0,0,NA,,,,,,,,,,,,,,,
22,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,,,,,,,,,,,,,,,
22,3,0,1,0,0,0,0,0,0,0,0,0,0,NA,,,,,,,,,,,,,,,
22,4,0,0,0,0,0,0,0,0,0,0,0,0,NA,,,,,,,,,,,,,,,
22,5,0,1,0,0,0,0,Kangaroo_rat,1,Burrowing_owl,1,0,0,NA,,,,,,,,,,,,,,,
22,6,0,0,1,0,0,0,Kangaroo_rat,1,0,0,0,0,NA,,,,,,,,,,,,,,,
22,7,0,1,0,0,0,0,0,0,0,0,0,0,NA,,,,,,,,,,,,,,,
22,8,0,0,1,0,0,0,0,0,0,0,0,0,NA,,,,,,,,,,,,,,,
22,9,0,1,1,0,0,0,0,0,0,0,0,0,NA,,,,,,,,,,,,,,,
23,1,0,2,0,0,0,0,0,0,0,0,0,0,NA,,,,,,,,,,,,,,,
23,2,0,2,0,0,0,0,0,0,0,0,0,0,NA,,,,,,,,,,,,,,,
23,3,0,0,0,0,0,0,Kangaroo_rat,1,0,0,0,0,NA,,,,,,,,,,,,,,,
23,4,0,0,0,0,0,0,Kangaroo_rat,2,0,0,0,0,NA,,,,,,,,,,,,,,,
23,5,0,0,0,0,0,0,0,0,0,0,0,0,NA,,,,,,,,,,,,,,,
23,6,0,0,1,0,0,0,Kangaroo_rat,1,0,0,0,0,NA,,,,,,,,,,,,,,,
23,7,0,3,3,0,0,0,0,0,0,0,0,0,NA,,,,,,,,,,,,,,,
23,8,0,3,2,0,0,0,0,0,0,0,0,0,NA,,,,,,,,,,,,,,,
23,9,1,6,2,0,0,0,0,0,0,0,0,0,NA,,,,,,,,,,,,,,,
24,1,0,0,1,0,0,0,Burrowing_owl,1,0,0,0,0,NA,,,,,,,,,,,,,,,
24,2,0,0,0,0,0,0,Kangaroo_rat,1,0,0,0,0,NA,,,,,,,,,,,,,,,
24,3,0,2,0,0,0,0,Kangaroo_rat,1,0,0,0,0,NA,,,,,,,,,,,,,,,
24,4,0,0,0,0,0,0,0,0,0,0,0,0,NA,,,,,,,,,,,,,,,
24,5,0,0,0,0,0,0,0,0,0,0,0,0,NA,,,,,,,,,,,,,,,
24,6,0,0,1,0,0,0,Kangaroo_rat,1,0,0,0,0,NA,,,,,,,,,,,,,,,
24,7,0,0,0,0,0,0,0,0,0,0,0,0,NA,,,,,,,,,,,,,,,
24,8,0,0,0,0,0,0,0,0,0,0,0,0,NA,,,,,,,,,,,,,,,
24,9,0,0,0,0,0,0,Kangaroo_rat,1,0,0,0,0,NA,,,,,,,,,,,,,,,
24,10,0,1,0,0,0,0,0,0,0,0,0,0,NA,,,,,,,,,,,,,,,
