"","RabID","Rab.Obv","name","Date","Hour","DayOfYr","MST.time","lat","lon","geometry","SurveyNight"
"118",118,"Jackrab","Jaib191",2022-08-08,1,220,2022-08-08 01:26:18,43.36008601,-116.23443,c(-116.23443, 43.36008601),"5"
"119",119,"Jackrab","Jaib2",2022-08-01,21,213,2022-08-01 21:59:46,43.34261703,-116.233715,c(-116.233715, 43.34261703),"1"
"120",120,"Jackrab","Jaib20",2022-08-04,1,216,2022-08-04 01:58:36,43.28574498,-116.193515,c(-116.193515, 43.28574498),"3"
"121",121,"Jackrab","Jaib201",2022-08-08,1,220,2022-08-08 01:26:25,43.36008601,-116.23443,c(-116.23443, 43.36008601),"5"
"122",122,"Jackrab","Jaib21",2022-08-02,22,214,2022-08-02 22:52:37,43.21454499,-115.991927,c(-115.991927, 43.21454499),"2"
"123",123,"Jackrab","Jaib210",2022-08-04,1,216,2022-08-04 01:30:56,43.36844604,-116.234425,c(-116.234425, 43.36844604),"3"
"124",124,"Jackrab","Jaib211",2022-08-04,2,216,2022-08-04 02:00:14,43.28574498,-116.193515,c(-116.193515, 43.28574498),"3"
"125",125,"Jackrab","Jaib212",2022-08-05,1,217,2022-08-05 01:02:03,43.21456896,-115.988195,c(-115.988195, 43.21456896),"4"
"126",126,"Jackrab","Jaib213",2022-08-08,0,220,2022-08-08 00:56:48,43.38166798,-116.234487,c(-116.234487, 43.38166798),"5"
"127",127,"Jackrab","Jaib214",2022-08-08,1,220,2022-08-08 01:26:49,43.36008601,-116.23443,c(-116.23443, 43.36008601),"5"
"128",128,"Jackrab","Jaib215",2022-08-09,1,221,2022-08-09 01:28:18,43.370611,-116.234432,c(-116.234432, 43.370611),"6"
"129",129,"Jackrab","Jaib216",2022-08-11,1,223,2022-08-11 01:21:01,43.21458103,-115.98792,c(-115.98792, 43.21458103),"7"
"130",130,"Jackrab","Jaib217",2022-08-12,1,224,2022-08-12 01:49:02,43.26582396,-116.047196,c(-116.047196, 43.26582396),"8"
"131",131,"Jackrab","Jaib22",2022-08-04,2,216,2022-08-04 02:00:31,43.28552102,-116.193515,c(-116.193515, 43.28552102),"3"
"132",132,"Jackrab","Jaib221",2022-08-08,1,220,2022-08-08 01:27:26,43.35447298,-116.23443,c(-116.23443, 43.35447298),"5"
"133",133,"Jackrab","Jaib23",2022-08-04,2,216,2022-08-04 02:00:40,43.28552102,-116.193515,c(-116.193515, 43.28552102),"3"
